,CaseID,W1_Q1,W1_Q2,W1_Q3,W1_Q4,W1_Q5,W1_Q6,W1_Q7,W1_Q8a,W1_Q8b,W2_Q16,ppage,ppeducat,ppethm,ppgender,ppincimp,ppstaten,Party_ID,Ideology,Panel_Tenure_Months,OCC_GA,OCC_WA,OCC_NU,OCC_CC,OCC_JA,OCC_CO,OCC_FA,OCC_RS,OCC_DR,OCC_CP,OCC_TE,FB09,fisexp1,fisexp2,censusgroup
11620,1173.0,Once in a while,Good,About half the time,Be reduced a little,60.0,50.0,80.0,80.0,,Be reduced a little,80.0,Less than high school,"White, Non-Hispanic",Female,"$12,500 to $14,999",mo,Leans Democrat,"Moderate, middle of the road",10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1325904,1.0,1.0,Few Immigrants
11630,1175.0,Never,Fair,Once in a while,Remain the same as it is,80.0,75.0,80.0,80.0,,Remain the same as it is,65.0,Some college,"White, Non-Hispanic",Male,"$35,000 to $39,999",fl,Leans Democrat,"Moderate, middle of the road",16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124495275,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
11640,1176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Not Hispanic"
11650,1177.0,Once in a while,Very poor,Never,Remain the same as it is,100.0,90.0,100.0,100.0,,Be reduced a little,53.0,High school,"White, Non-Hispanic",Female,"$25,000 to $29,999",il,Strong Republican,"Moderate, middle of the road",90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09535995,1.0,1.0,Few Immigrants
11660,1178.0,Once in a while,Good,Once in a while,Remain the same as it is,50.0,50.0,50.0,50.0,,Be increased a little,79.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$85,000 to $99,999",mn,Leans Democrat,Slightly liberal,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350198,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
11670,1179.0,Most of the time,Excellent,Most of the time,Remain the same as it is,50.0,50.0,50.0,75.0,,Be reduced a lot,64.0,Some college,"White, Non-Hispanic",Male,"$50,000 to $59,999",wa,Strong Democrat,"Moderate, middle of the road",32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18242587,1.0,2.0,Few Immigrants
11680,1180.0,Once in a while,Poor,Once in a while,Be reduced a lot,50.0,30.0,50.0,80.0,,Remain the same as it is,40.0,Bachelor's degree or higher,Hispanic,Female,"$75,000 to $84,999",ca,Not Strong Republican,Slightly conservative,3.0,,,,,,,,,,,,,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
11690,1181.0,About half the time,Fair,Most of the time,Be reduced a lot,5.0,5.0,75.0,90.0,,Be reduced a lot,21.0,Some college,"White, Non-Hispanic",Female,"$100,000 to $124,999",ks,Strong Republican,Extremely conservative,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Few Immigrants
11700,1182.0,Never,Poor,Once in a while,Be reduced a lot,95.0,75.0,75.0,85.0,,Be reduced a little,51.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$100,000 to $124,999",oh,Strong Republican,Conservative,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032736517,1.0,1.0,Few Immigrants
11710,1183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Not Hispanic"
11720,1184.0,Never,Poor,Once in a while,Be reduced a lot,25.0,25.0,10.0,100.0,,Be reduced a little,51.0,High school,"White, Non-Hispanic",Female,"$100,000 to $124,999",mi,Leans Republican,"Moderate, middle of the road",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23116839,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
11730,1185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11740,1186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Hispanic"
11750,1187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Not Hispanic"
11760,1188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Not Hispanic"
11770,1189.0,Once in a while,Poor,Once in a while,Be reduced a lot,50.0,50.0,50.0,75.0,,Be reduced a lot,59.0,Some college,"White, Non-Hispanic",Female,"$25,000 to $29,999",ky,Not Strong Democrat,Liberal,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15965223,1.0,1.0,Few Immigrants
11780,1190.0,Never,Excellent,About half the time,Remain the same as it is,100.0,100.0,100.0,100.0,,Remain the same as it is,80.0,High school,Hispanic,Female,"Less than $5,000",ca,Strong Democrat,Slightly liberal,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,2.0,"Many Immigrants, Majority Hispanic"
11790,1191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Not Hispanic"
11800,1192.0,Never,Excellent,Never,Be reduced a lot,100.0,75.0,75.0,75.0,,Be reduced a little,38.0,Some college,Hispanic,Male,"$40,000 to $49,999",ny,Strong Democrat,Liberal,130.0,,,,,,,,,,,,,2.0,2.0,"Many Immigrants, Majority Hispanic"
11810,1193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11820,1194.0,Once in a while,Fair,Once in a while,Be reduced a lot,25.0,25.0,35.0,90.0,,Be reduced a little,58.0,High school,"White, Non-Hispanic",Female,"$50,000 to $59,999",pa,Not Strong Republican,"Moderate, middle of the road",19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15542494,1.0,1.0,
11830,1195.0,About half the time,Excellent,Most of the time,Be reduced a little,60.0,55.0,50.0,75.0,,Remain the same as it is,53.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$150,000 to $174,999",pa,Strong Democrat,Liberal,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1204641,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
11840,1196.0,Once in a while,Poor,Once in a while,Remain the same as it is,50.0,50.0,50.0,50.0,,Remain the same as it is,38.0,Some college,"White, Non-Hispanic",Male,"$100,000 to $124,999",sd,Strong Republican,"Moderate, middle of the road",55.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.058380287,1.0,1.0,Few Immigrants
11850,1197.0,Once in a while,Good,Once in a while,Remain the same as it is,100.0,100.0,100.0,100.0,,Be reduced a little,28.0,Some college,"White, Non-Hispanic",Male,"$7,500 to $9,999",pa,Undecided/Independent/Other,Extremely conservative,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23116839,1.0,1.0,Few Immigrants
11860,1199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Few Immigrants
11870,1200.0,Once in a while,Good,Once in a while,Be reduced a lot,70.0,50.0,70.0,75.0,,Remain the same as it is,53.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$60,000 to $74,999",tx,Leans Republican,"Moderate, middle of the road",11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09350198,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
11880,1201.0,Once in a while,Poor,Once in a while,Remain the same as it is,100.0,100.0,100.0,100.0,,Remain the same as it is,62.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$60,000 to $74,999",wa,Leans Republican,Conservative,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18242587,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
11890,1202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Few Immigrants
11900,1203.0,Once in a while,Fair,Once in a while,Remain the same as it is,75.0,80.0,80.0,80.0,,Remain the same as it is,74.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$75,000 to $84,999",mi,Strong Democrat,Liberal,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350198,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
11910,1204.0,Once in a while,Good,Once in a while,Be reduced a lot,65.0,30.0,65.0,90.0,,Be reduced a little,66.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$100,000 to $124,999",ks,Leans Republican,"Moderate, middle of the road",53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07161217,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
11920,1205.0,Most of the time,Excellent,Once in a while,Be reduced a lot,0.0,5.0,5.0,50.0,,Be reduced a lot,65.0,Some college,"White, Non-Hispanic",Male,"$100,000 to $124,999",ok,Strong Republican,Conservative,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Few Immigrants
11930,1206.0,Once in a while,Good,Once in a while,Remain the same as it is,60.0,60.0,60.0,95.0,,Be reduced a little,29.0,Some college,"White, Non-Hispanic",Female,"$5,000 to $7,499",nj,Strong Democrat,"Moderate, middle of the road",93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14417452,2.0,2.0,
11940,1207.0,Never,Poor,Once in a while,Be reduced a little,10.0,25.0,10.0,25.0,,Be reduced a little,46.0,Some college,"White, Non-Hispanic",Male,"$100,000 to $124,999",nj,Leans Republican,"Moderate, middle of the road",8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2089776,2.0,2.0,
11950,1208.0,Never,Excellent,About half the time,Be reduced a lot,25.0,0.0,50.0,50.0,,Be reduced a lot,21.0,Some college,"White, Non-Hispanic",Female,"$150,000 to $174,999",tx,Leans Republican,"Moderate, middle of the road",74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14449827,1.0,1.0,Few Immigrants
11960,1209.0,Once in a while,Fair,Once in a while,Remain the same as it is,78.0,75.0,80.0,80.0,,Remain the same as it is,28.0,Less than high school,"2+ Races, Non-Hispanic",Male,"$50,000 to $59,999",mi,Strong Republican,Extremely conservative,49.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350198,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
11970,1210.0,Once in a while,Fair,Once in a while,Be reduced a lot,75.0,50.0,75.0,75.0,,Be reduced a lot,71.0,Less than high school,"White, Non-Hispanic",Male,"$35,000 to $39,999",ny,Leans Democrat,"Moderate, middle of the road",31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,Few Immigrants
11980,1211.0,Never,Very poor,Never,Be reduced a lot,20.0,25.0,20.0,50.0,,Be reduced a lot,43.0,High school,"White, Non-Hispanic",Male,"$85,000 to $99,999",oh,Leans Republican,Conservative,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350198,1.0,1.0,Few Immigrants
11990,1212.0,Never,Very poor,Never,Remain the same as it is,50.0,50.0,100.0,100.0,,Remain the same as it is,20.0,Some college,"White, Non-Hispanic",Female,"$175,000 or more",il,Undecided/Independent/Other,Refused,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Few Immigrants
12000,1213.0,Never,Fair,Once in a while,Remain the same as it is,50.0,50.0,50.0,50.0,,Remain the same as it is,51.0,Some college,"White, Non-Hispanic",Female,"$20,000 to $24,999",oh,Leans Democrat,Extremely liberal,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040401127,1.0,1.0,Few Immigrants
12010,1214.0,Never,Poor,Never,Be reduced a lot,0.0,0.0,0.0,100.0,,Be reduced a lot,37.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$100,000 to $124,999",pa,Strong Democrat,"Moderate, middle of the road",89.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14449827,1.0,1.0,Few Immigrants
12020,1215.0,Once in a while,Good,About half the time,Be reduced a little,75.0,65.0,75.0,75.0,,Be reduced a little,70.0,Some college,Hispanic,Male,"$40,000 to $49,999",tx,Strong Democrat,Conservative,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,"Many Immigrants, Majority Hispanic"
12030,1216.0,Once in a while,Fair,Once in a while,Be reduced a lot,50.0,25.0,50.0,50.0,,Be reduced a lot,56.0,Some college,"White, Non-Hispanic",Male,"$85,000 to $99,999",wa,Leans Republican,Conservative,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15964115,1.0,2.0,Few Immigrants
12040,1217.0,Once in a while,Poor,Once in a while,Remain the same as it is,78.0,67.0,79.0,89.0,,Remain the same as it is,48.0,Some college,"White, Non-Hispanic",Male,"$30,000 to $34,999",in,Not Strong Republican,Conservative,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18283539,1.0,1.0,Few Immigrants
12050,1218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Few Immigrants
12060,1219.0,Once in a while,Fair,Once in a while,Remain the same as it is,50.0,50.0,45.0,50.0,,Remain the same as it is,34.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$50,000 to $59,999",wa,Strong Democrat,Liberal,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12541616,1.0,2.0,Few Immigrants
12070,1220.0,Once in a while,Good,About half the time,Be reduced a lot,40.0,34.0,34.0,65.0,,Be reduced a little,56.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$125,000 to $149,999",ia,Strong Democrat,Liberal,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14449827,1.0,1.0,Few Immigrants
12080,1221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Few Immigrants
12090,1222.0,Never,Very poor,Never,Be reduced a lot,5.0,2.0,3.0,5.0,,Be reduced a lot,69.0,High school,"White, Non-Hispanic",Female,"$15,000 to $19,999",mi,Strong Democrat,Liberal,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106848456,1.0,1.0,Few Immigrants
12100,1223.0,Never,Poor,Once in a while,Be reduced a lot,75.0,60.0,75.0,75.0,,Be reduced a lot,67.0,Some college,"White, Non-Hispanic",Female,"$85,000 to $99,999",ga,Not Strong Republican,"Moderate, middle of the road",99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
12110,1224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12120,1225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Few Immigrants
12130,1226.0,Once in a while,Fair,Once in a while,Be increased a little,90.0,90.0,95.0,95.0,,Remain the same as it is,69.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$60,000 to $74,999",ga,Leans Republican,"Moderate, middle of the road",96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350198,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
12140,1227.0,Once in a while,Fair,Once in a while,Be reduced a little,90.0,80.0,80.0,90.0,,Remain the same as it is,19.0,Less than high school,Hispanic,Female,"$30,000 to $34,999",tx,Not Strong Republican,Conservative,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,"Many Immigrants, Majority Hispanic"
12150,1228.0,Most of the time,Excellent,Most of the time,Be reduced a lot,25.0,75.0,25.0,95.0,,Be reduced a lot,51.0,Some college,"White, Non-Hispanic",Male,"$100,000 to $124,999",ar,Strong Democrat,Extremely liberal,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2610364,1.0,1.0,Few Immigrants
12160,1229.0,Never,Fair,Once in a while,Be reduced a lot,100.0,100.0,100.0,100.0,,Be reduced a lot,29.0,High school,"White, Non-Hispanic",Female,"$20,000 to $24,999",ut,Leans Democrat,Liberal,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15108828,1.0,1.0,"Many Immigrants, Majority Hispanic"
12170,1230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Hispanic"
12180,1231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Hispanic"
12190,1232.0,Once in a while,Fair,Once in a while,Remain the same as it is,100.0,100.0,100.0,100.0,,Remain the same as it is,34.0,Some college,"White, Non-Hispanic",Male,"$35,000 to $39,999",mi,Leans Democrat,"Moderate, middle of the road",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18283539,1.0,1.0,Few Immigrants
12200,1233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Few Immigrants
12210,1235.0,Never,Very poor,Once in a while,Be reduced a lot,90.0,90.0,90.0,90.0,,Be reduced a lot,50.0,High school,"White, Non-Hispanic",Female,"$125,000 to $149,999",ca,Not Strong Republican,Slightly conservative,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350198,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
12220,1236.0,Never,Fair,Once in a while,Be reduced a lot,50.0,50.0,50.0,50.0,,Be reduced a lot,62.0,High school,"White, Non-Hispanic",Female,"$25,000 to $29,999",wa,Leans Democrat,"Moderate, middle of the road",103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13556229,1.0,2.0,Few Immigrants
12230,1237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12240,1238.0,Once in a while,Poor,About half the time,Be reduced a little,85.0,75.0,95.0,95.0,,Be reduced a little,65.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$150,000 to $174,999",ga,Strong Republican,Conservative,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,"Many Immigrants, Majority Hispanic"
12250,1239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12260,1240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Not Hispanic"
12270,1241.0,Never,Good,About half the time,Be reduced a lot,30.0,30.0,30.0,50.0,,Be reduced a lot,62.0,High school,"Other, Non-Hispanic",Female,"$15,000 to $19,999",ok,Strong Democrat,"Moderate, middle of the road",67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Few Immigrants
12280,1242.0,Once in a while,Fair,Once in a while,Be reduced a little,75.0,50.0,50.0,75.0,,Be increased a little,65.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$175,000 or more",nj,Strong Democrat,"Moderate, middle of the road",72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12541616,2.0,2.0,
12290,1243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Few Immigrants
12300,1244.0,Once in a while,Excellent,Most of the time,Remain the same as it is,75.0,75.0,75.0,75.0,,Remain the same as it is,36.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$175,000 or more",ca,Strong Democrat,Conservative,4.0,,,,,,,,,,,,,1.0,2.0,"Many Immigrants, Majority Hispanic"
12310,1245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Not Hispanic"
12320,1246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12330,1247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Few Immigrants
12340,1248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Hispanic"
12350,1249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Hispanic"
12360,1250.0,Once in a while,Good,Never,Remain the same as it is,50.0,50.0,50.0,50.0,,Remain the same as it is,83.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$75,000 to $84,999",ca,Not Strong Democrat,Liberal,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1494284,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
12370,1251.0,Never,Good,Once in a while,Be reduced a little,35.0,,25.0,100.0,,Be reduced a little,22.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$10,000 to $12,499",wv,Leans Republican,"Moderate, middle of the road",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
12380,1252.0,Once in a while,Poor,Never,Be increased a little,70.0,85.0,80.0,100.0,,Remain the same as it is,51.0,Some college,"White, Non-Hispanic",Male,"$100,000 to $124,999",wa,Not Strong Republican,Slightly conservative,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12709278,1.0,2.0,Few Immigrants
12390,1253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Few Immigrants
12400,1254.0,Once in a while,Fair,Once in a while,Be reduced a little,90.0,80.0,80.0,90.0,,Be reduced a little,64.0,High school,"White, Non-Hispanic",Female,"$40,000 to $49,999",or,Strong Republican,Conservative,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124495275,1.0,1.0,"Many Immigrants, Majority Hispanic"
12410,1255.0,Once in a while,Fair,About half the time,Remain the same as it is,82.0,40.0,85.0,80.0,,Be increased a little,19.0,High school,Hispanic,Female,"$75,000 to $84,999",ca,Strong Republican,Conservative,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,2.0,"Many Immigrants, Majority Hispanic"
12420,1256.0,Never,Good,Never,Be increased a little,100.0,90.0,95.0,30.0,,Be increased a little,34.0,Bachelor's degree or higher,"2+ Races, Non-Hispanic",Female,"$60,000 to $74,999",il,Strong Democrat,Extremely liberal,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13556229,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
12430,1257.0,Once in a while,Poor,Once in a while,Be reduced a lot,75.0,50.0,65.0,,80.0,Remain the same as it is,48.0,Less than high school,"Black, Non-Hispanic",Male,"$20,000 to $24,999",dc,Strong Democrat,Extremely liberal,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,"Many Immigrants, Majority Hispanic"
12440,1258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Hispanic"
12450,1259.0,Once in a while,Fair,Once in a while,Be reduced a little,49.0,50.0,75.0,99.0,,Be reduced a lot,68.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$100,000 to $124,999",tx,Not Strong Republican,Conservative,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124495275,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
12460,1260.0,Once in a while,Fair,About half the time,Be reduced a lot,25.0,25.0,80.0,98.0,,Be reduced a lot,32.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$100,000 to $124,999",il,Leans Republican,"Moderate, middle of the road",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1325904,1.0,1.0,"Many Immigrants, Majority Hispanic"
12470,1261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Few Immigrants
12480,1262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Hispanic"
12490,1263.0,Never,Fair,Once in a while,Be reduced a lot,10.0,10.0,50.0,75.0,,Be reduced a lot,69.0,High school,"White, Non-Hispanic",Male,"$25,000 to $29,999",pa,Strong Republican,Conservative,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2610364,1.0,1.0,Few Immigrants
12500,1264.0,Never,Fair,Once in a while,Be reduced a lot,90.0,90.0,90.0,90.0,,Be reduced a lot,53.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$75,000 to $84,999",il,Strong Republican,Conservative,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07049426,1.0,1.0,Few Immigrants
12510,1265.0,Once in a while,Very poor,Once in a while,Remain the same as it is,50.0,60.0,80.0,85.0,,Be reduced a lot,63.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$125,000 to $149,999",nj,Strong Republican,Conservative,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1642884,2.0,2.0,
12520,1266.0,Most of the time,Excellent,Most of the time,Be reduced a little,75.0,65.0,75.0,75.0,,Be reduced a little,58.0,Some college,"White, Non-Hispanic",Male,"$50,000 to $59,999",tx,Not Strong Republican,"Moderate, middle of the road",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07049426,1.0,1.0,Few Immigrants
12530,1267.0,Once in a while,Fair,Once in a while,Be reduced a lot,75.0,50.0,75.0,75.0,,Be reduced a little,47.0,High school,"White, Non-Hispanic",Female,"$75,000 to $84,999",al,Strong Republican,Conservative,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139584,1.0,1.0,Few Immigrants
12540,1268.0,Never,Very poor,Once in a while,Be increased a lot,0.0,20.0,40.0,75.0,,Be reduced a lot,80.0,Less than high school,"White, Non-Hispanic",Male,"$15,000 to $19,999",nc,Strong Republican,"Moderate, middle of the road",42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,
12550,1269.0,Never,Good,Most of the time,Remain the same as it is,50.0,50.0,50.0,50.0,,Be reduced a little,53.0,Some college,Hispanic,Male,"$30,000 to $34,999",ca,Refused,Refused,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13556229,1.0,2.0,"Many Immigrants, Majority Hispanic"
12560,1270.0,Once in a while,Good,Once in a while,Be reduced a lot,85.0,85.0,85.0,98.0,,Be reduced a lot,65.0,Some college,"White, Non-Hispanic",Female,"$100,000 to $124,999",tx,Leans Republican,"Moderate, middle of the road",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12541616,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
12570,1271.0,Once in a while,Very poor,About half the time,Be reduced a lot,0.0,0.0,0.0,100.0,,Be increased a lot,46.0,High school,"White, Non-Hispanic",Male,"$30,000 to $34,999",al,Undecided/Independent/Other,"Moderate, middle of the road",22.0,,,,,,,,,,,,,1.0,1.0,Few Immigrants
